"","STORE_NO","REVENUE_2013","ZIP","SQUARE_FEET","U_CITY","U_STATE","CENSUS_REGION","CENSUS_DIVISION","TOT_ATTRITION_2012","TOT_ATTRITION_2013","NUM_ASSISTANT_MANAGERS","NUM_CUST_ACC_REPS","NUM_STORE_MANAGERS","NUM_EMP_PAY_TYPE_H","AVG_PAY_RATE_PAY_TYPE_S","AVG_PAY_RATE_PAY_TYPE_H","NAT_CURR_ROBBERY","NAT_CURR_BURGLARY","NAT_CURR_MOT_VEH_THEFT","NAT_PAST_ROBBERY","NAT_PAST_BURGLARY","NAT_PAST_MOT_VEH_THEFT","FRONTAGE_ROAD","NUM_PARKING_SPACES","SIGNAGE_VISIBILITY_IND","AUTOZONE_IND","TARGET_IND","WALMART_IND","PAYLESS_IND","COMP_PRESENCE_IND","STRIP_SHOP_CENTER_IND","SINGLE_TENANT_IND","PAD_IN_SHOP_CENTER_IND","MARKETING_EXP_2013","MARKETING_EXP_2012","TOT_NUM_LEADS","NUM_CONVERTED_TO_AGREEMENT","PERC_CONVERTED_TO_AGREEMENT","URBANICITY","CYA01V001","CYB02V001","CYA12V001","CYA12V002","CYA12V003","CYA12V007","CYA12V008","CYA21V001","XCX03V069","PERC_CYEA07V001","PERC_CYEA07V004","PERC_CYEA07V007","PERC_CYEA07V010","PERC_CYB11V006","PERC_CYB11V007","PERC_CYC13VV01","pred_Revenue_2013","diff_Revenue_2013","store_performance"
"1",4,1099857,40216,5221,"LOUISVILLE","KY","South","East South Central",4,4,10,13,1,6,54000,13.536666667,226,462,234,235,388,220,"Yes","Greater than 10","Yes",0,0,0,0,0,0,0,0,4402.46,1037.28,19346,546,0.0734463277,"Suburban",170527,68863,49602,53873,48163,11054,21155,61.69,48.14,0.6159845655,0.3252270901,0.0026388783,0.0151530256,0.0235830562,0.0148265397,0.1137356548,1221619.18216655,-121762.182166554,"LOW"
"2",6,1100407,38128,4000,"MEMPHIS","TN","South","East South Central",3,1,6,14,1,6,49000,10.693333333,520,887,424,527,1007,510,"No","Greater than 10","Yes",0,0,0,0,0,1,0,0,993.03,1247.48,12537,544,0.080141426,"Suburban",216028,81167,70813,65616,53227,11428,21317,89.44,61.11,0.3823856167,0.5336993353,0.0024117244,0.0160025552,0.0285214434,0.0259465054,0.1025746662,974088.653589349,126318.346410651,"HIGH"
"3",7,930254,45406,6091,"DAYTON","OH","Midwest","East North Central",2,2,2,14,2,4,46000,11.565,378,719,254,427,820,367,"Yes","Greater than 10","No",0,0,0,0,0,0,0,0,217.07,623.34,13461,395,0.1276252019,"Suburban",107973,46137,34806,31286,26613,7373,12753,50.04,83.8,0.3253591176,0.6329267502,0.0025932409,0.0049086346,0.0202223812,0.0142185231,0.1816287405,786726.541693246,143527.458306754,"HIGH"
"4",8,1544073,43223,9000,"COLUMBUS","OH","Midwest","East North Central",2,0,3,7,2,6,58000,11.46,657,1109,482,761,1127,647,"Yes","Greater than 10","No",0,0,0,0,0,0,0,0,809.45,560.79,13485,668,0.139895288,"Urban",279653,115200,109518,75524,64787,12776,29714,78.77,60.65,0.6591811996,0.2530814974,0.003525798,0.0240869935,0.0218229167,0.0178125,0.0796165248,1270304.43815223,273768.561847768,"HIGH"
"5",10,934672,45356,4160,"PIQUA","OH","Midwest","East North Central",0,3,2,7,3,4,44000,12.1575,35,65,33,59,113,46,"Yes","Greater than 10","Yes",0,0,1,0,1,0,0,0,920.36,362.17,11593,504,0.1762237762,"Emerging suburban",41540,17276,8335,18343,16530,2735,4067,108.59,39.78,0.9142753972,0.0358208955,0.0020702937,0.0163456909,0.0177703172,0.0108821486,0.5784304285,934672.000000007,-6.51925802230835e-09,"LOW"
"6",11,631215,37087,4000,"LEBANON","TN","South","East South Central",2,2,7,5,3,3,50000,11.64,106,287,165,84,264,106,"Yes","Greater than 10","Yes",0,0,0,0,0,0,0,0,3261.67,1181.54,9805,328,0.0381218038,"Emerging suburban",33991,13018,6734,14495,12593,2303,3420,92.7,39.63,0.8284545909,0.1062340031,0.0027654379,0.0107969757,0.0217391304,0.012674758,0.7587596717,526200.728312087,105014.271687913,"HIGH"
"7",12,913399,43614,6000,"TOLEDO","OH","Midwest","East North Central",1,3,3,10,2,4,45000,13.6125,233,658,144,257,468,136,"Yes","Greater than 10","Yes",0,0,0,0,0,1,0,0,1771.66,600.73,12368,590,0.0599776355,"Suburban",124706,52884,42137,40344,35546,5387,13576,44.56,61.4,0.6461116546,0.2764582298,0.0035122608,0.0186438503,0.019400953,0.009000832,0.1879620868,857223.355206432,56175.6447935678,"HIGH"
"8",14,692449,14621,4900,"ROCHESTER","NY","Northeast","Middle Atlantic",0,3,2,5,2,4,0,13.96,563,296,430,595,305,317,"Yes","0 (e.g., street parking, structure/lot more than 2 doors down, parking in back)","Yes",0,0,0,0,0,0,0,0,1864.98,829.82,6716,366,0.1040659653,"Urban",201714,84979,80081,50105,40263,10453,18390,33.67,103.37,0.475033959,0.3787540776,0.0048484488,0.0277571215,0.0218406901,0.0162275386,0.0962798814,623814.20940069,68634.7905993098,"HIGH"
"9",18,621707,40213,3400,"LOUISVILLE","KY","South","East South Central",2,4,5,9,3,3,41000,10.933333333,311,790,352,328,669,421,"No","Greater than 10","Yes",0,0,0,0,0,0,0,0,4365.36,1173.68,9359,340,0.0507462687,"Suburban",180947,77174,60982,52489,46258,11290,22095,57.68,46.17,0.6403311467,0.2738923552,0.0032827292,0.0226585685,0.0182963174,0.0127633659,0.1132154719,602397.950031575,19309.0499684248,"HIGH"
"10",20,805241,43224,6750,"COLUMBUS","OH","Midwest","East North Central",4,1,10,9,2,4,46000,11.9725,398,446,280,419,471,286,"Yes","Greater than 10","Yes",0,0,0,0,0,0,0,0,1796.62,1054.05,11601,412,0.1027944112,"Urban",166060,69176,54744,51497,44085,7563,16386,40.18,69.76,0.5066481994,0.4086956522,0.0028122365,0.0202637601,0.0229559385,0.0162050422,0.1299891605,937048.739763294,-131807.739763294,"LOW"
"11",21,1356318,43616,4500,"OREGON","OH","Midwest","East North Central",2,1,5,7,1,5,54000,11.482,184,337,123,224,368,141,"No","Greater than 10","Yes",0,0,0,0,0,1,0,0,1346.84,842.08,11561,743,0.0790846195,"Suburban",133077,52561,39174,39916,34389,6623,17748,89.17,58.21,0.6430938479,0.2658010024,0.0047942169,0.0046288991,0.0266737695,0.0170658854,0.1342155294,1356317.99999997,2.74740159511566e-08,"HIGH"
"12",22,682205,14606,4000,"ROCHESTER","NY","Northeast","Middle Atlantic",2,1,4,6,1,4,45000,11.89,618,368,508,595,354,348,"Yes","0 (e.g., street parking, structure/lot more than 2 doors down, parking in back)","Yes",0,0,0,0,1,0,0,0,1433.96,290.86,9206,439,0.0556259503,"Urban",238878,100492,91207,68497,57235,12700,21120,67.17,98.09,0.5594487563,0.3176558745,0.0040941401,0.0362151391,0.019484138,0.0136926322,0.0963169484,889473.143697529,-207268.143697529,"LOW"
"13",26,714838,44128,4400,"CLEVELAND","OH","Midwest","East North Central",0,3,4,8,3,4,41500,10.9825,419,332,270,380,299,204,"Yes","Between 1 and 10","Yes",0,0,0,0,0,0,1,0,1032.01,528.2,9241,369,0.0881931166,"Urban",179693,76868,61886,52022,44728,11317,20165,41.62,93.55,0.2933725855,0.6641883657,0.0017863801,0.0154541357,0.0194098975,0.0123588489,0.1451698174,726299.686379892,-11461.6863798916,"LOW"
"14",27,770448,44109,3000,"CLEVELAND","OH","Midwest","East North Central",0,5,5,9,2,4,43000,10.835,434,337,282,442,424,416,"Yes","Greater than 10","No",0,0,0,0,0,0,0,0,992.07,681.43,11426,443,0.0951460481,"Urban",272793,115421,99093,71589,60828,13536,31970,59.25,64.28,0.5598567412,0.31864454,0.0041203403,0.0215071501,0.0217638038,0.0173105414,0.0650969783,859359.784825526,-88911.7848255263,"LOW"
"15",28,727559,14094,4690,"LOCKPORT","NY","Northeast","Middle Atlantic",1,7,3,9,4,3,45000,11.273333333,89,147,67,105,110,68,"Yes","Greater than 10","Yes",0,0,0,0,0,1,0,0,2547.96,683.48,13402,383,0.0467757694,"Emerging suburban",47166,19744,11954,20013,18175,2329,4328,96.07,61.12,0.8987830217,0.0554636815,0.0045583683,0.007166179,0.0148905997,0.0085089141,0.5238731289,727559.000000034,-3.44589352607727e-08,"LOW"
"16",30,916097,43701,5280,"ZANESVILLE","OH","Midwest","East North Central",0,0,3,8,0,5,48000,12.028,73,218,55,122,273,82,"Yes","Greater than 10","Yes",0,0,0,0,0,1,0,0,1421.96,610.27,15080,621,0.0515438247,"Emerging suburban",40330,16316,8855,16356,15106,2585,4438,83.09,37.14,0.8891395983,0.0667493181,0.0034217704,0.0025291346,0.021206178,0.0113998529,0.46260848,974359.349448275,-58262.3494482747,"LOW"
"17",31,932298,14843,3500,"HORNELL","NY","Northeast","Middle Atlantic",2,4,5,10,2,5,48000,12.552,34,43,21,50,62,30,"Yes","Greater than 10","Yes",0,0,1,0,0,0,0,0,920.61,511.1,12081,431,0.1514406184,"Emerging suburban",16383,6781,3538,7406,6721,915,1395,95.54,51.29,0.9575169383,0.0136727095,0.0018311665,0.0061038882,0.0200560389,0.0116501991,1.3749618507,932298.000000007,-6.75208866596222e-09,"LOW"
"18",34,1060000,45504,4200,"SPRINGFIELD","OH","Midwest","East North Central",3,2,3,11,1,5,48000,11.538,205,378,118,261,438,173,"Yes","Greater than 10","No",0,0,0,0,0,0,0,0,1178.77,724.86,13180,638,0.1023419955,"Emerging suburban",74895,30462,19753,26516,23010,4549,9151,77.76,47.17,0.7917885039,0.148461179,0.0030976701,0.007677415,0.0215350272,0.0144113978,0.2883904132,1070495.32948961,-10495.3294896064,"LOW"
"19",35,871023,50316,4070,"DES MOINES","IA","Midwest","West North Central",1,1,2,6,1,4,47000,11.2925,478,302,612,419,323,418,"Yes","Greater than 10","Yes",0,0,0,0,0,1,0,0,1415.41,1986.19,12112,453,0.2546374368,"Suburban",164266,64403,40745,64421,57951,7161,16108,119.59,52.57,0.79178284,0.0927032983,0.0043587839,0.038729865,0.0245485459,0.0178718383,0.1508102711,974383.592826066,-103360.592826066,"LOW"
"20",37,656375,38109,4000,"MEMPHIS","TN","South","East South Central",2,0,1,6,2,3,40000,10.366666667,366,773,472,406,802,526,"Yes","Greater than 10","Yes",0,0,0,0,0,1,0,0,1001.45,781.02,7874,375,0.0960799385,"Suburban",92325,32715,29655,27162,22059,6597,8499,98.91,73.8,0.1808285946,0.7806011373,0.0025886813,0.0035310046,0.0378419685,0.0320648021,0.1824966152,559772.937967642,96602.0620323583,"HIGH"
"21",38,824652,45805,6000,"LIMA","OH","Midwest","East North Central",1,0,3,5,1,4,44000,10.6325,137,204,65,180,246,83,"Yes","Greater than 10","Yes",1,0,0,0,0,1,0,0,1436.75,314.82,11311,469,0.1135868249,"Emerging suburban",61106,23736,15100,23731,21048,3025,7055,59.82,48.24,0.7567014696,0.1856282525,0.0025365758,0.0078224724,0.0230872936,0.0132709808,0.3273819265,744331.402098837,80320.5979011626,"HIGH"
"22",39,1133388,37042,6240,"CLARKSVILLE","TN","South","East South Central",0,4,5,8,1,7,52000,12.052857143,107,286,129,111,282,121,"No","Greater than 10","Yes",0,0,0,0,0,0,0,1,2783.59,2446.08,22459,558,0.0383452446,"Emerging suburban",87627,30795,21252,34531,28493,2091,6510,127.26,55.22,0.6140344871,0.252992799,0.0076574572,0.0245700526,0.0294853061,0.0148075986,0.2084517329,1240157.95680687,-106769.956806869,"LOW"
"23",40,876214,42240,5900,"HOPKINSVILLE","KY","South","East South Central",3,1,5,6,1,5,43000,11.982,109,246,56,157,363,79,"Yes","Greater than 10","Yes",0,0,0,1,0,0,0,0,2634.29,2885,13682,470,0.0563414049,"Emerging suburban",34738,14111,8162,12100,10281,2459,4560,73.61,48.08,0.6323334677,0.313978928,0.0036559387,0.0101042086,0.0163702076,0.0112678053,0.6405665266,939083.832031193,-62869.8320311931,"LOW"
"24",43,825987,46226,4500,"INDIANAPOLIS","IN","Midwest","East North Central",2,0,5,4,1,4,51000,11.3425,502,935,389,506,905,460,"Yes","Greater than 10","Yes",0,0,0,0,0,1,0,0,1338.68,586.18,15415,590,0.0486919204,"Suburban",184750,75566,57760,57357,50719,9171,19953,71.39,74.65,0.4664086604,0.4346738836,0.0028903924,0.0115669824,0.0247730461,0.0163565625,0.1206820027,1004001.24845457,-178014.248454568,"LOW"
"25",44,803877,43055,6000,"NEWARK","OH","Midwest","East North Central",0,3,4,5,1,4,48000,11.91,140,187,80,178,234,102,"Yes","Between 1 and 10","Yes",0,0,0,0,0,0,0,0,4283.71,2012.52,12092,487,0.0953966699,"Emerging suburban",66882,27473,14286,27822,26016,4320,7207,83.26,37.94,0.9343919141,0.0291109716,0.0030351963,0.0059956341,0.0209660394,0.0100098278,0.348404653,825766.792726484,-21889.7927264837,"LOW"
"26",45,610298,18505,4276,"SCRANTON","PA","Northeast","Middle Atlantic",2,4,5,7,2,4,45000,10.475,105,97,90,73,106,60,"Yes","Greater than 10","No",0,0,1,0,0,0,0,0,1009.9,1695.6,6502,235,0.0440487348,"Suburban",89562,36447,26788,33762,30991,5866,8189,37.73,62.28,0.85957214,0.0469842121,0.0021995936,0.0268305755,0.0198918978,0.0113863967,0.2516804002,638435.146371227,-28137.1463712273,"LOW"
"27",47,657968,48504,4800,"FLINT","MI","Midwest","East North Central",3,0,4,7,2,4,41000,12.58,269,489,147,321,559,166,"No","Greater than 10","No",0,0,0,0,0,0,1,0,664.05,483.6,10015,498,0.1180094787,"Suburban",104071,41644,35031,29876,25174,6853,10636,73.3,72.4,0.4262570745,0.5226528043,0.0053905507,0.0064859567,0.0261021996,0.0195946595,0.1802999875,780963.31361911,-122995.31361911,"LOW"
"28",48,917366,49508,5220,"GRAND RAPIDS","MI","Midwest","East North Central",4,1,4,3,4,4,47000,12.245,262,379,215,192,290,111,"Yes","Between 1 and 10","No",0,0,0,0,0,1,0,0,1287.18,548.29,11888,496,0.0930930931,"Suburban",185023,68477,54766,65617,60023,7483,14804,67.83,64.84,0.6396339914,0.1971484626,0.0059884447,0.0354928847,0.0306672313,0.0226645443,0.131643093,844281.586862619,73084.4131373807,"HIGH"
"29",49,1083347,49444,3600,"MUSKEGON","MI","Midwest","East North Central",1,0,6,2,0,5,51000,13.124,215,299,140,249,359,185,"Yes","Greater than 10","No",0,0,1,1,0,0,0,0,1100.24,1179.18,17403,675,0.1116255995,"Emerging suburban",85581,32468,23449,28137,24469,4566,11760,69.68,53.91,0.6646335051,0.2671387341,0.0087519426,0.0059943212,0.0266108168,0.0153689787,0.210584125,1175482.35477615,-92135.3547761464,"LOW"
"30",50,955741,48638,4000,"SAGINAW","MI","Midwest","East North Central",0,3,4,6,2,3,47000,12.386666667,76,161,45,122,211,63,"Yes","Greater than 10","Yes",0,0,1,1,0,0,0,0,270.62,329.68,10330,401,0.0794059406,"Emerging suburban",82553,34225,22608,32071,30090,5141,7790,69.77,51.48,0.7782273206,0.1404431093,0.0038036171,0.0183760736,0.0185244704,0.0089992695,0.3102007195,743154.912978988,212586.087021012,"HIGH"
"31",54,817328,14215,5000,"BUFFALO","NY","Northeast","Middle Atlantic",1,5,4,13,1,4,41000,10.5625,533,609,326,596,744,358,"No","0 (e.g., street parking, structure/lot more than 2 doors down, parking in back)","Yes",0,0,0,0,0,0,0,0,1205.56,1543.93,8983,344,0.0763426542,"Urban",233418,99908,83809,73141,63073,13993,21956,45.43,97.56,0.5663059404,0.3636180586,0.0036843774,0.0331122707,0.0162449453,0.0093986468,0.105690221,792241.580253185,25086.4197468145,"HIGH"
"32",56,759930,46203,7500,"INDIANAPOLIS","IN","Midwest","East North Central",2,1,4,6,2,5,44000,11.026,402,501,300,428,648,391,"No","Greater than 10","No",0,0,0,0,0,0,0,0,529.89,761.98,11621,371,0.0359705255,"Suburban",151894,61621,52325,44032,37945,7082,18085,48.65,55.98,0.6746151922,0.2203181166,0.0045887263,0.01187012,0.0263546518,0.0200580971,0.1204260866,789687.098296314,-29757.0982963142,"LOW"
"33",58,842212,13208,5487,"SYRACUSE","NY","Northeast","Middle Atlantic",4,3,6,8,2,3,45000,12.883333333,561,208,280,458,167,161,"Yes","0 (e.g., street parking, structure/lot more than 2 doors down, parking in back)","Yes",0,0,0,0,0,0,0,0,358.86,831.83,9060,306,0.0616314199,"Emerging suburban",29591,12260,7051,12296,11469,2133,3071,106.06,57.73,0.9549187253,0.0157142374,0.0029738772,0.0083133385,0.0163132137,0.0075040783,0.97593863,833841.806084842,8370.19391515828,"HIGH"
"34",59,655992,43952,5100,"STEUBENVILLE","OH","Midwest","East North Central",0,2,2,5,1,4,40000,11.8575,164,174,59,209,200,67,"No","Between 1 and 10","Yes",1,0,0,0,0,1,0,0,429.79,520.77,8113,429,0.0752631579,"Emerging suburban",53128,22827,13393,20717,19198,4592,5845,79.27,34.07,0.8945188978,0.0732758621,0.0014493299,0.0049126638,0.0146317957,0.00766636,0.4178022888,694432.794264749,-38440.7942647489,"LOW"
"35",63,791013,49017,5200,"BATTLE CREEK","MI","Midwest","East North Central",4,3,4,12,2,3,44000,10.723333333,180,172,101,191,188,111,"No","Greater than 10","Yes",0,0,0,0,0,0,0,0,884.13,596.22,10870,555,0.0739211508,"Emerging suburban",49228,19441,12265,17159,15260,2580,6825,61.27,51.23,0.7145323799,0.1985861705,0.0074957341,0.0076582433,0.0251530271,0.0152769919,0.3794994718,940399.43216731,-149386.43216731,"LOW"
"36",64,844725,47130,8200,"JEFFERSONVILLE","IN","Midwest","East North Central",2,1,8,7,2,5,45000,11.876,367,174,307,400,251,296,"No","Greater than 10","Yes",0,0,0,0,0,0,0,0,1154.56,1092.76,15701,407,0.09183213,"Suburban",150778,66865,51720,45838,39846,7304,19580,58.69,46.96,0.7135391105,0.2238257571,0.0032232819,0.0139476581,0.0142525985,0.0092425036,0.1530660972,844724.999999967,3.29455360770226e-08,"HIGH"
"37",65,955813,49001,6048,"KALAMAZOO","MI","Midwest","East North Central",2,2,3,7,2,4,45000,11.9025,558,721,498,461,891,368,"No","Between 1 and 10","Yes",0,0,0,0,0,0,1,0,800.37,880.6,15372,583,0.0928048392,"Suburban",106651,42968,42639,29443,26646,4645,10187,54.46,52.78,0.7144611865,0.1924126356,0.0053070295,0.0167837151,0.0206199963,0.0136846025,0.1905842421,947031.777543016,8781.22245698399,"HIGH"
"38",66,605845,49544,3860,"GRAND RAPIDS","MI","Midwest","East North Central",2,1,4,4,3,4,45000,11.665,291,433,258,294,365,212,"No","Between 1 and 10","Yes",0,0,0,0,0,0,1,0,779.01,521.81,8246,344,0.0637391143,"Suburban",150962,60680,49294,50210,44613,6653,14700,80.72,51.8,0.7765927849,0.1035889827,0.0079887654,0.0153084882,0.0237969677,0.0165128543,0.1491633656,657110.329393828,-51265.3293938284,"LOW"
"39",67,598388,48212,7000,"HAMTRAMCK","MI","Midwest","East North Central",2,3,4,5,1,4,42000,12.495,475,304,170,482,338,179,"No","0 (e.g., street parking, structure/lot more than 2 doors down, parking in back)","Yes",0,0,0,0,0,0,0,0,223.08,281.89,7482,344,0.0852117909,"Urban",224291,90689,94425,47029,32976,14722,24419,51.05,89.21,0.195299856,0.7164888471,0.0039636009,0.0477370915,0.0292427968,0.0316135364,0.0668506538,598388.000000021,-2.11875885725021e-08,"LOW"
"40",68,823494,48327,4550,"WATERFORD","MI","Midwest","East North Central",1,1,3,6,1,4,50000,13.35,326,392,204,331,511,225,"No","Greater than 10","Yes",0,0,0,0,0,1,0,0,733.81,418.67,18168,621,0.0369488903,"Suburban",115477,45859,32773,40412,36226,5633,13383,44.19,64.52,0.6155684682,0.2794322679,0.0047888324,0.0273127982,0.0249896422,0.0165289256,0.2408358374,935354.169403189,-111860.169403189,"LOW"
"41",69,628750,45102,3000,"AMELIA","OH","Midwest","East North Central",5,3,6,11,4,3,40000,11.236666667,74,183,65,72,158,57,"No","Greater than 10","Yes",0,0,0,0,0,0,0,0,513.07,758.22,12274,315,0.0373754153,"Emerging suburban",79171,31836,14911,36626,34715,3503,7433,66.11,44.74,0.9455735055,0.014714984,0.0025135466,0.0146265678,0.0215165222,0.0098944591,0.388046128,628749.999999946,5.36674633622169e-08,"HIGH"
"42",70,778895,48180,5000,"TAYLOR","MI","Midwest","East North Central",4,1,4,7,2,4,47000,13.445,131,117,80,148,185,95,"No","Greater than 10","Yes",0,0,0,0,0,1,0,0,588.57,273.95,7393,358,0.073814433,"Urban",148679,60665,40269,54312,50611,10428,16492,50.18,50.72,0.8139548961,0.1246376422,0.0054614303,0.0135459614,0.0212148685,0.0123135251,0.1604059753,816648.705943901,-37753.7059439012,"LOW"
"43",74,848004,45840,4000,"FINDLAY","OH","Midwest","East North Central",2,4,2,12,1,4,46000,12.015,113,355,110,107,324,71,"Yes","Greater than 10","Yes",0,0,0,0,0,1,0,0,585.92,252.96,10395,497,0.0583059596,"Emerging suburban",50322,21044,12306,20870,19148,2569,5048,98.67,44.27,0.9176900759,0.0201899766,0.0027423393,0.022991932,0.0179623646,0.008363429,0.5523627837,834594.28787292,13409.7121270804,"HIGH"
"44",75,872247,13021,5000,"AUBURN","NY","Northeast","Middle Atlantic",7,2,6,10,3,4,46000,10.65,161,97,129,294,158,285,"No","Between 1 and 10","Yes",0,0,0,0,0,0,0,0,1130.83,1376.79,9637,495,0.0794797688,"Emerging suburban",40917,17105,10448,16670,14805,3182,3682,91.07,55.71,0.8959112349,0.0601217098,0.0036903976,0.0060610504,0.0164864075,0.0078339667,0.6490945084,830271.141570469,41975.8584295305,"HIGH"
"45",78,738374,30080,3905,"SMYRNA","GA","South","South Atlantic",1,2,4,7,0,4,50000,15.435,422,680,477,372,612,413,"No","Between 1 and 10","Yes",0,0,0,0,0,1,0,0,1246.51,584.28,11897,322,0.1182085169,"Suburban",135586,55627,40586,49410,41918,4642,10752,48.22,65.45,0.4994099686,0.3191037423,0.004639122,0.0421651203,0.0247361893,0.0229385011,0.2213355361,745906.479424192,-7532.47942419176,"LOW"
"46",79,1202708,37211,4345,"NASHVILLE","TN","South","East South Central",2,3,7,12,2,4,58000,11.115,258,336,251,262,454,276,"Yes","Greater than 10","Yes",0,0,0,0,0,1,0,0,1313.86,1769.83,18806,497,0.0491884402,"Suburban",162521,66601,56528,53095,42877,5190,15397,63.04,54.94,0.6030543745,0.2222605079,0.0043317479,0.0433974686,0.0236633084,0.0213059864,0.1730791713,1084040.44503097,118667.554969035,"HIGH"
"47",80,739372,45431,3750,"DAYTON","OH","Midwest","East North Central",1,1,4,2,2,4,42000,11.6175,271,527,221,294,535,267,"Yes","Greater than 10","No",1,0,0,0,0,0,0,0,656.09,463.37,10444,410,0.0975261656,"Suburban",105580,44140,33564,36001,32170,5245,11393,40.3,46.67,0.8316916083,0.0929247964,0.0031729494,0.0251373366,0.0180561849,0.0112596285,0.20152491,701300.750392624,38071.2496073762,"HIGH"
"48",82,1541942,12206,4500,"ALBANY","NY","Northeast","Middle Atlantic",5,3,4,18,0,4,60000,11.7,720,453,579,777,525,683,"Yes","Greater than 10","No",0,0,0,0,0,1,0,0,2307.41,838.37,18605,592,0.158585588,"Suburban",174631,73824,71845,53915,46473,10267,12442,67.28,89.36,0.6915782421,0.1948565833,0.0026283993,0.0569658308,0.0150899436,0.0085338101,0.171384233,1350555.45351862,191386.546481377,"HIGH"
"49",83,874347,30263,5850,"NEWNAN","GA","South","South Atlantic",0,4,4,7,1,4,55000,14.875,118,152,108,141,159,161,"No","Greater than 10","No",0,0,0,0,0,1,0,0,749.48,458.57,13276,347,0.0943447526,"Emerging suburban",67139,24099,13776,29688,26310,2557,5686,88.12,54.61,0.6645764757,0.2439267788,0.0031278393,0.0205245833,0.0302917133,0.0182165235,0.3899521887,874346.999999977,2.28174030780792e-08,"HIGH"
"50",89,1084471,26041,4700,"MOUNDSVILLE","WV","South","South Atlantic",4,5,7,12,1,4,52000,11.2825,38,41,23,50,39,28,"Yes","Greater than 10","Yes",0,0,0,0,0,0,0,0,1168.31,1487.07,13228,496,0.062,"Emerging suburban",25262,11122,4899,11368,10555,2015,2908,68.47,27.29,0.9783073391,0.0066107197,0.0016625762,0.0024938643,0.0132170473,0.0057543607,0.8756630512,1084471,-3.25962901115417e-09,"LOW"
"51",90,477621,14850,5641,"ITHACA","NY","Northeast","Middle Atlantic",4,3,8,5,3,4,43000,11.0675,75,45,109,137,72,102,"Yes","Greater than 10","Unable to determine",0,0,0,0,0,1,0,0,1059.38,1459.71,7031,240,0.0574988021,"Emerging suburban",60315,22281,33239,16023,14534,2150,2887,93.64,87.34,0.7534112576,0.052159496,0.0035148802,0.1368316339,0.0115793726,0.0096943584,0.4518279035,647668.331269497,-170047.331269497,"LOW"
"52",91,688923,38305,4800,"JACKSON","TN","South","East South Central",2,2,3,8,1,3,52000,10.37,160,874,187,260,1203,464,"Unable to determine","Greater than 10","Unable to determine",0,0,0,0,0,1,0,0,793.44,629.15,12962,373,0.0360247247,"Emerging suburban",66825,25506,19495,22934,19567,3702,6943,97.96,55.2,0.5268387579,0.4192293303,0.0019753086,0.0125551814,0.0199560888,0.0138790873,0.3660007482,742452.828543753,-53529.8285437525,"LOW"
"53",93,607578,14701,3965,"JAMESTOWN","NY","Northeast","Middle Atlantic",2,1,2,5,2,3,41000,12.326666667,216,104,68,272,114,61,"No","0 (e.g., street parking, structure/lot more than 2 doors down, parking in back)","Yes",0,0,0,0,0,0,0,0,802.55,818.51,11583,380,0.0923002186,"Emerging suburban",48213,20769,12040,18681,16831,3329,5113,80.87,54.24,0.913176944,0.029784498,0.0048534628,0.0054964429,0.0165149983,0.0083297222,0.4565366188,607578.000000029,-2.8638169169426e-08,"LOW"
"54",94,978191,14760,4000,"OLEAN","NY","Northeast","Middle Atlantic",1,4,4,7,0,3,0,11.806666667,80,130,54,137,148,80,"No","Between 1 and 10","Yes",0,0,0,0,0,1,0,0,339.4,385.86,13877,441,0.0748980978,"Emerging suburban",24486,10141,7350,9601,8639,1390,1990,84.19,53.43,0.9210160908,0.0289553214,0.0055950339,0.0146614392,0.0166650232,0.0065082339,0.9063954913,868780.165423504,109410.834576496,"HIGH"
"55",97,473235,41071,4350,"NEWPORT","KY","South","East South Central",1,5,5,3,3,3,42000,11.35,460,358,407,551,318,326,"Yes","Greater than 10","Yes",1,0,0,0,0,0,0,0,397.08,314.94,8325,254,0.0485752534,"Suburban",164634,71871,59925,47357,40330,8630,19278,55.14,50.2,0.7247166442,0.2267210904,0.0022534835,0.0122392701,0.017183565,0.0116597793,0.152167839,466931.231323675,6303.76867632457,"HIGH"
"56",99,732403,49424,5000,"HOLLAND","MI","Midwest","East North Central",1,1,6,5,0,4,42000,11.3525,164,341,161,129,286,109,"No","Greater than 10","Yes",0,0,0,0,0,1,0,0,1261.42,695.57,9980,337,0.0388741493,"Emerging suburban",93771,34032,21156,41878,39286,3414,6665,75.95,56.2,0.8071365347,0.0258822024,0.005065532,0.0522976187,0.0319699107,0.0165138693,0.2640261915,732402.99999996,3.99304553866386e-08,"HIGH"
"57",150,1378877,7055,5000,"PASSAIC","NJ","Northeast","Middle Atlantic",4,0,7,6,1,5,57000,12.144,736,64,298,757,74,385,"No","0 (e.g., street parking, structure/lot more than 2 doors down, parking in back)","Yes",0,0,0,0,0,0,0,0,926.77,462.65,11573,362,0.0473202614,"Superurban",155935,50599,54169,51705,43295,6685,8005,11.02,114.23,0.5924006798,0.0806489884,0.0078622503,0.0536377337,0.0513646515,0.0559299591,0.1291435534,1378877.0000001,-1.01746991276741e-07,"LOW"
