"","STORE_NO","REVENUE_2013","ZIP","SQUARE_FEET","U_CITY","U_STATE","CENSUS_REGION","CENSUS_DIVISION","TOT_ATTRITION_2012","TOT_ATTRITION_2013","NUM_ASSISTANT_MANAGERS","NUM_CUST_ACC_REPS","NUM_STORE_MANAGERS","NUM_EMP_PAY_TYPE_H","AVG_PAY_RATE_PAY_TYPE_S","AVG_PAY_RATE_PAY_TYPE_H","NAT_CURR_ROBBERY","NAT_CURR_BURGLARY","NAT_CURR_MOT_VEH_THEFT","NAT_PAST_ROBBERY","NAT_PAST_BURGLARY","NAT_PAST_MOT_VEH_THEFT","FRONTAGE_ROAD","NUM_PARKING_SPACES","SIGNAGE_VISIBILITY_IND","AUTOZONE_IND","TARGET_IND","WALMART_IND","PAYLESS_IND","COMP_PRESENCE_IND","STRIP_SHOP_CENTER_IND","SINGLE_TENANT_IND","PAD_IN_SHOP_CENTER_IND","MARKETING_EXP_2013","MARKETING_EXP_2012","TOT_NUM_LEADS","NUM_CONVERTED_TO_AGREEMENT","PERC_CONVERTED_TO_AGREEMENT","URBANICITY","CYA01V001","CYB02V001","CYA12V001","CYA12V002","CYA12V003","CYA12V007","CYA12V008","CYA21V001","XCX03V069","PERC_CYEA07V001","PERC_CYEA07V004","PERC_CYEA07V007","PERC_CYEA07V010","PERC_CYB11V006","PERC_CYB11V007","PERC_CYC13VV01","pred_Revenue_2013","diff_Revenue_2013","store_performance"
"2213",3845,768861,27406,10404,"GREENSBORO","NC","South","South Atlantic",7,4,5,11,1,5,55000,11.244,620,881,450,768,960,535,"No","Greater than 10","Yes",0,0,0,0,0,1,0,0,1263.45,1225.98,11312,380,0.0962756524,"Suburban",155007,61704,64653,42152,34112,7405,12827,102.27,62.96,0.3783119472,0.497422697,0.0068706575,0.0395853091,0.0213114223,0.0140023337,0.1386130949,881338.548585475,-112477.548585475,"LOW"
"2214",3846,741597,29150,5075,"SUMTER","SC","South","South Atlantic",6,4,7,15,3,5,42000,10.792,185,326,193,160,291,191,"Yes","Greater than 10","Yes",0,0,0,0,0,1,0,0,2254.96,751.85,11033,339,0.1071090047,"Emerging suburban",56516,21879,17549,19132,16156,3200,4523,92.44,58.1,0.4416802321,0.5036272914,0.003733456,0.0143853068,0.0252296723,0.0178710179,0.3610835869,707943.149479507,33653.8505204935,"HIGH"
"2215",3848,1113318,2149,4000,"EVERETT","MA","Northeast","New England",4,0,4,7,1,4,53000,13.4675,341,98,364,357,104,435,"Yes","Greater than 10","Yes",0,0,0,0,0,1,0,0,1225.4,683.85,10605,361,0.073598369,"Superurban",203955,78306,67876,74000,61765,9903,15805,17.78,104.48,0.6089970827,0.1135348484,0.0043342894,0.100409404,0.0282992363,0.0238806733,0.1356230541,1002489.85057573,110828.149424273,"HIGH"
"2216",3849,720798,2723,4340,"FALL RIVER","MA","Northeast","New England",1,3,2,9,2,4,44000,11.3825,282,196,325,303,158,367,"Yes","Greater than 10","Yes",0,0,0,0,0,0,0,0,521.72,118.63,15819,451,0.1441815857,"Suburban",124768,53279,34895,46428,42623,9743,12516,67.78,60.82,0.896263465,0.0306488843,0.0024204924,0.0209108105,0.0142269937,0.0072261116,0.1921165684,815654.073862221,-94856.0738622207,"LOW"
"2217",3850,909617,2136,3745,"HYDE PARK","MA","Northeast","New England",3,2,0,12,1,3,49000,12.183333333,534,142,560,476,129,436,"Yes","Greater than 10","Yes",0,0,0,0,0,0,0,0,141.3,373.04,8426,326,0.2112767336,"Urban",154292,57659,54790,52986,45355,5991,11278,26.95,122.34,0.4711196951,0.3870842299,0.0044590776,0.0270007518,0.0263271996,0.0185920672,0.2122469085,909617.000000006,-5.82076609134674e-09,"LOW"
"2218",3851,1060828,2745,5400,"NEW BEDFORD","MA","Northeast","New England",0,3,4,3,1,4,50000,13.6325,239,88,207,228,73,150,"Yes","Greater than 10","Yes",0,0,0,0,0,0,0,0,146.07,881.54,12371,405,0.1147308782,"Suburban",125351,48699,40057,44537,39248,7749,11593,76.86,68.01,0.8027219567,0.0526441752,0.0099719986,0.0115595408,0.0180496519,0.0099591367,0.1797831689,965137.985717808,95690.0142821922,"HIGH"
"2219",3852,1164375,2910,4059,"CRANSTON","RI","Northeast","New England",0,0,3,5,1,5,55000,12.904,415,227,436,396,255,719,"Yes","Between 1 and 10","No",0,0,0,0,0,1,0,0,1539.17,1097.07,12303,491,0.1167102448,"Urban",290671,110018,108335,87326,73077,16160,27126,58.67,92.67,0.6387221291,0.1116141617,0.0094987116,0.0554028438,0.0261048192,0.0193877366,0.0823542768,1164375.00000003,-3.02679836750031e-08,"LOW"
"2220",3854,523554,2895,4000,"WOONSOCKET","RI","Northeast","New England",1,1,2,9,2,3,45000,11.1,111,168,120,153,225,207,"Yes","Greater than 10","Yes",0,0,0,0,0,0,0,0,288.93,307.82,8777,256,0.1208687441,"Emerging suburban",95682,37791,24094,38956,35574,5381,8835,73.46,73.05,0.8717418114,0.0339666813,0.0026023704,0.0388265295,0.0214336747,0.0093408484,0.3291005623,539602.939631741,-16048.9396317415,"LOW"
"2221",3855,977439,21222,5800,"DUNDALK","MD","South","South Atlantic",1,4,2,10,1,2,50000,11.96,229,99,169,223,88,145,"No","Greater than 10","Yes",0,0,1,0,0,0,0,0,548.27,1231.17,9417,408,0.2351585014,"Urban",123065,47553,33036,47937,42084,9218,10405,35.75,42.92,0.7614025109,0.1399423069,0.008361435,0.023865437,0.0278636469,0.0225432675,0.1967415593,847238.331661427,130200.668338573,"HIGH"
"2222",3856,981819,21286,4100,"TOWSON","MD","South","South Atlantic",5,3,12,14,3,4,46000,12.6775,209,66,120,216,82,168,"Yes","Greater than 10","Yes",0,0,0,0,0,1,0,0,379.73,791.88,10764,504,0.1348314607,"Urban",248101,98983,88954,84645,73833,11758,22260,45.37,61.15,0.5304170479,0.3935856768,0.0023659719,0.0419667797,0.0187102836,0.0116181567,0.1298221289,981819.000000011,-1.09430402517319e-08,"LOW"
"2223",3858,637047,6385,4500,"WATERFORD","CT","Northeast","New England",1,0,1,4,1,3,47000,12.463333333,249,149,342,262,179,339,"Yes","Greater than 10","Yes",0,0,0,0,0,0,0,0,1158.94,1759.4,8700,346,0.089846793,"Emerging suburban",60964,24706,21016,20181,17751,3170,6550,45.15,85.88,0.747736369,0.097762614,0.0073321961,0.0390394331,0.017566583,0.0098761434,0.5067088774,525186.830596735,111860.169403265,"HIGH"
"2224",3859,707714,6119,9000,"WEST HARTFORD","CT","Northeast","New England",2,1,3,6,2,5,43000,12.314,638,188,518,587,178,465,"No","Between 1 and 10","Yes",0,0,0,0,0,0,1,0,1788.63,1251.74,7516,312,0.1217323449,"Urban",183632,70208,67988,55139,46500,8611,15653,44.73,119.77,0.4751187157,0.2838176353,0.0046179315,0.0466530888,0.0243277119,0.0166790109,0.1586488194,707714.000000009,-8.61473381519318e-09,"LOW"
"2225",3861,723451,6109,4500,"WETHERSFIELD","CT","Northeast","New England",0,1,3,7,1,5,48000,13.232,428,98,332,389,91,334,"Yes","Greater than 10","No",0,0,0,0,0,1,0,0,725.49,394.62,8873,353,0.1162331248,"Urban",194465,74831,69916,60112,52548,9928,17281,57.66,105.45,0.5933767002,0.1595762734,0.0043452549,0.0437713727,0.0243081076,0.0157020486,0.1359627697,723451.000000009,-8.96397978067398e-09,"LOW"
"2226",3862,969174,6095,4000,"WINDSOR","CT","Northeast","New England",1,3,6,9,1,4,50000,12.9125,391,78,252,334,83,209,"Yes","Greater than 10","No",0,0,0,0,0,1,0,0,1543.79,1507.31,11260,366,0.1052328925,"Suburban",228084,88684,81045,71500,59486,11014,20373,104.41,128.24,0.4232344224,0.3443248978,0.0046430263,0.0531514705,0.0249988724,0.0172297145,0.1162028025,969174.00000001,-9.54605638980865e-09,"LOW"
"2227",3863,772373,1013,5100,"CHICOPEE","MA","Northeast","New England",5,1,4,13,3,4,45000,11.3375,248,200,297,282,190,236,"No","Greater than 10","No",0,0,0,0,0,1,0,0,1321.73,654.64,9314,367,0.0517995766,"Suburban",186915,74451,64137,58036,48343,8836,16907,56.14,94.37,0.6549126608,0.10736966,0.0063772303,0.0205280475,0.0255335724,0.0189923574,0.105679052,772372.999999998,1.62981450557709e-09,"HIGH"
"2228",3864,755670,1118,4000,"SPRINGFIELD","MA","Northeast","New England",1,3,5,7,3,5,47000,12.236,633,491,641,728,506,783,"No","Greater than 10","Yes",0,0,0,0,0,1,0,0,873.99,1139.51,7623,315,0.1006389776,"Suburban",144218,53561,51107,46402,38272,5465,11177,38.71,104.55,0.5774383225,0.203358804,0.0055818275,0.0292681912,0.029013648,0.0199585519,0.1553966911,792781.229733562,-37111.2297335619,"LOW"
"2229",3865,806590,1603,4000,"WORCESTER","MA","Northeast","New England",3,4,6,12,1,4,54000,12.1875,589,160,459,588,180,535,"Yes","Between 1 and 10","Yes",0,0,0,0,0,1,0,0,2672.22,992.27,8819,344,0.1137942441,"Suburban",162286,60391,58841,50772,44983,9326,14045,55.3,92.4,0.7087610761,0.1072181211,0.0044119641,0.0580087007,0.0256826348,0.0152009405,0.1507523754,868064.848026233,-61474.8480262326,"LOW"
"2230",3866,733942,28212,4000,"CHARLOTTE","NC","South","South Atlantic",1,3,7,8,2,4,43000,10.8,484,551,537,394,483,354,"No","Greater than 10","Yes",0,0,0,0,0,1,0,0,1162.79,416.82,11206,424,0.0997412374,"Suburban",159685,64275,49523,56051,46201,5990,13943,47.67,59.4,0.5129348405,0.3064595923,0.0061245577,0.0380123368,0.0249085959,0.0176429405,0.1741365814,789154.472639526,-55212.4726395257,"LOW"
